Index,Strike,Mid,IV,Delta,Type,Maturity,Tau
90,299,9.93,13.99%,0.9288,Call,7/28/2025,0.030136986
91,300,9,14.21%,0.9023,Call,7/28/2025,0.030136986
92,301,8.25,15.20%,0.8583,Call,7/28/2025,0.030136986
93,302,7.15,14.26%,0.8399,Call,7/28/2025,0.030136986
94,303,6.53,14.55%,0.7968,Call,7/28/2025,0.030136986
95,304,5.73,14.34%,0.7567,Call,7/28/2025,0.030136986
96,305,4.98,14.18%,0.7107,Call,7/28/2025,0.030136986
97,306,4.28,14.05%,0.6599,Call,7/28/2025,0.030136986
98,307,3.63,13.91%,0.6052,Call,7/28/2025,0.030136986
99,308,3.08,14.00%,0.5466,Call,7/28/2025,0.030136986
100,309,2.51,13.70%,0.4874,Call,7/28/2025,0.030136986
101,310,2.11,13.96%,0.4294,Call,7/28/2025,0.030136986
102,311,1.73,14.02%,0.3732,Call,7/28/2025,0.030136986
103,312,1.4,14.01%,0.3193,Call,7/28/2025,0.030136986
104,313,1.14,14.42%,0.2753,Call,7/28/2025,0.030136986
105,314,0.91,14.32%,0.2286,Call,7/28/2025,0.030136986
106,315,0.72,14.40%,0.1896,Call,7/28/2025,0.030136986
107,316,0.58,14.79%,0.1606,Call,7/28/2025,0.030136986
108,317,0.46,14.98%,0.1328,Call,7/28/2025,0.030136986
109,318,0.36,15.03%,0.1069,Call,7/28/2025,0.030136986
110,319,0.29,15.18%,0.0865,Call,7/28/2025,0.030136986
111,320,0.24,15.69%,0.0743,Call,7/28/2025,0.030136986
112,321,0.19,15.74%,0.0586,Call,7/28/2025,0.030136986
113,322,0.15,15.93%,0.0473,Call,7/28/2025,0.030136986
114,323,0.13,16.29%,0.0396,Call,7/28/2025,0.030136986
115,324,0.11,16.66%,0.0334,Call,7/28/2025,0.030136986
116,325,0.09,17.39%,0.0308,Call,7/28/2025,0.030136986
117,326,0.08,17.40%,0.0239,Call,7/28/2025,0.030136986
118,327,0.06,17.61%,0.0194,Call,7/28/2025,0.030136986
119,328,0.04,18.40%,0.0187,Call,7/28/2025,0.030136986
120,289,0.04,19.45%,-0.0148,Put,7/28/2025,0.030136986
121,290,0.05,18.29%,-0.0143,Put,7/28/2025,0.030136986
122,291,0.06,17.93%,-0.0174,Put,7/28/2025,0.030136986
123,292,0.06,17.67%,-0.0218,Put,7/28/2025,0.030136986
124,293,0.08,17.11%,-0.0253,Put,7/28/2025,0.030136986
125,294,0.09,16.80%,-0.0313,Put,7/28/2025,0.030136986
126,295,0.1,16.10%,-0.0353,Put,7/28/2025,0.030136986
127,296,0.12,15.81%,-0.0442,Put,7/28/2025,0.030136986
128,297,0.15,14.99%,-0.0492,Put,7/28/2025,0.030136986
129,298,0.19,14.66%,-0.0614,Put,7/28/2025,0.030136986
130,299,0.24,14.32%,-0.0764,Put,7/28/2025,0.030136986
131,300,0.31,14.01%,-0.0952,Put,7/28/2025,0.030136986
132,301,0.4,13.92%,-0.1221,Put,7/28/2025,0.030136986
133,302,0.52,13.81%,-0.1538,Put,7/28/2025,0.030136986
134,303,0.67,13.67%,-0.1905,Put,7/28/2025,0.030136986
135,304,0.87,13.55%,-0.2333,Put,7/28/2025,0.030136986
136,305,1.13,13.30%,-0.2801,Put,7/28/2025,0.030136986
137,306,1.42,13.22%,-0.3345,Put,7/28/2025,0.030136986
138,307,1.8,13.46%,-0.3957,Put,7/28/2025,0.030136986
139,308,2.25,13.64%,-0.4576,Put,7/28/2025,0.030136986
140,309,2.75,13.35%,-0.5194,Put,7/28/2025,0.030136986
141,310,3.28,12.78%,-0.5858,Put,7/28/2025,0.030136986
142,311,3.88,12.07%,-0.6583,Put,7/28/2025,0.030136986
143,312,4.45,12.41%,-0.7154,Put,7/28/2025,0.030136986
144,313,5.28,12.92%,-0.7622,Put,7/28/2025,0.030136986
145,314,6.07,12.98%,-0.8104,Put,7/28/2025,0.030136986
146,315,6.85,12.37%,-0.8694,Put,7/28/2025,0.030136986
147,316,7.73,12.13%,-0.9152,Put,7/28/2025,0.030136986
148,317,8.63,11.28%,-0.974,Put,7/28/2025,0.030136986
149,318,9.55,15.42%,-0.9062,Put,7/28/2025,0.030136986
150,319,10.5,15.85%,-0.9231,Put,7/28/2025,0.030136986
151,320,11.48,16.94%,-0.9277,Put,7/28/2025,0.030136986
152,321,12.43,17.11%,-0.9459,Put,7/28/2025,0.030136986
153,322,13.43,18.12%,-0.9486,Put,7/28/2025,0.030136986
154,323,14.4,19.12%,-0.951,Put,7/28/2025,0.030136986
155,324,15.33,24.67%,-0.9015,Put,7/28/2025,0.030136986
156,325,16.25,23.76%,-0.9253,Put,7/28/2025,0.030136986
157,326,17.33,26.88%,-0.9083,Put,7/28/2025,0.030136986
158,327,18.3,27.29%,-0.9167,Put,7/28/2025,0.030136986
159,328,19.33,29.03%,-0.914,Put,7/28/2025,0.030136986
160,289,19.8,16.70%,0.9893,Call,7/30/2025,0.035616438
161,290,18.8,15.85%,0.9891,Call,7/30/2025,0.035616438
162,291,18.18,23.62%,0.9289,Call,7/30/2025,0.035616438
163,292,17.18,22.55%,0.9262,Call,7/30/2025,0.035616438
164,293,15.95,17.95%,0.9554,Call,7/30/2025,0.035616438
165,294,14.88,15.31%,0.9685,Call,7/30/2025,0.035616438
166,295,13.93,15.52%,0.9563,Call,7/30/2025,0.035616438
167,296,12.93,14.56%,0.9541,Call,7/30/2025,0.035616438
168,297,12.02,15.21%,0.9317,Call,7/30/2025,0.035616438
169,298,11.13,15.41%,0.9104,Call,7/30/2025,0.035616438
170,299,10.33,16.30%,0.8756,Call,7/30/2025,0.035616438
171,300,9.43,15.94%,0.855,Call,7/30/2025,0.035616438
172,301,8.38,14.28%,0.8517,Call,7/30/2025,0.035616438
173,302,7.73,15.50%,0.7996,Call,7/30/2025,0.035616438
174,303,6.93,15.34%,0.7657,Call,7/30/2025,0.035616438
175,304,6,14.27%,0.7402,Call,7/30/2025,0.035616438
176,305,5.3,15.11%,0.686,Call,7/30/2025,0.035616438
177,306,4.78,15.12%,0.6403,Call,7/30/2025,0.035616438
178,307,4.18,15.15%,0.5927,Call,7/30/2025,0.035616438
179,308,3.6,14.95%,0.5446,Call,7/30/2025,0.035616438
180,309,3.1,14.99%,0.4949,Call,7/30/2025,0.035616438
181,310,2.65,15.03%,0.4457,Call,7/30/2025,0.035616438
182,311,2.25,15.18%,0.3986,Call,7/30/2025,0.035616438
183,312,1.94,15.41%,0.3546,Call,7/30/2025,0.035616438
184,313,1.6,15.26%,0.3094,Call,7/30/2025,0.035616438
185,314,1.33,15.32%,0.269,Call,7/30/2025,0.035616438
186,315,1.11,15.38%,0.2321,Call,7/30/2025,0.035616438
187,316,0.92,15.49%,0.1992,Call,7/30/2025,0.035616438
188,317,0.76,15.65%,0.1705,Call,7/30/2025,0.035616438
189,318,0.63,15.85%,0.146,Call,7/30/2025,0.035616438
190,319,0.52,15.97%,0.1232,Call,7/30/2025,0.035616438
191,320,0.43,16.20%,0.1049,Call,7/30/2025,0.035616438
192,321,0.35,16.32%,0.0878,Call,7/30/2025,0.035616438
193,322,0.29,16.53%,0.0741,Call,7/30/2025,0.035616438
194,323,0.24,16.73%,0.0625,Call,7/30/2025,0.035616438
195,324,0.21,17.13%,0.0546,Call,7/30/2025,0.035616438
196,325,0.17,17.25%,0.0452,Call,7/30/2025,0.035616438
197,326,0.15,17.55%,0.0388,Call,7/30/2025,0.035616438
198,327,0.13,18.00%,0.0345,Call,7/30/2025,0.035616438
199,328,0.1,17.81%,0.0264,Call,7/30/2025,0.035616438
200,289,0.07,18.92%,-0.0211,Put,7/30/2025,0.035616438
201,290,0.08,18.07%,-0.022,Put,7/30/2025,0.035616438
202,291,0.09,17.87%,-0.0271,Put,7/30/2025,0.035616438
203,292,0.11,17.28%,-0.0303,Put,7/30/2025,0.035616438
204,293,0.12,16.65%,-0.0338,Put,7/30/2025,0.035616438
205,294,0.15,16.63%,-0.0435,Put,7/30/2025,0.035616438
206,295,0.18,15.98%,-0.0487,Put,7/30/2025,0.035616438
207,296,0.22,15.77%,-0.0599,Put,7/30/2025,0.035616438
208,297,0.26,15.35%,-0.0707,Put,7/30/2025,0.035616438
209,298,0.33,15.19%,-0.0872,Put,7/30/2025,0.035616438
210,299,0.41,14.96%,-0.1059,Put,7/30/2025,0.035616438
211,300,0.52,14.85%,-0.1295,Put,7/30/2025,0.035616438
212,301,0.66,14.69%,-0.1564,Put,7/30/2025,0.035616438
213,302,0.82,14.56%,-0.1877,Put,7/30/2025,0.035616438
214,303,1.02,14.73%,-0.2276,Put,7/30/2025,0.035616438
215,304,1.26,14.41%,-0.2643,Put,7/30/2025,0.035616438
216,305,1.55,14.17%,-0.3065,Put,7/30/2025,0.035616438
217,306,1.89,14.48%,-0.3578,Put,7/30/2025,0.035616438
218,307,2.25,14.25%,-0.4066,Put,7/30/2025,0.035616438
219,308,2.72,14.79%,-0.4603,Put,7/30/2025,0.035616438
220,309,3.18,14.34%,-0.5122,Put,7/30/2025,0.035616438
221,310,3.72,14.23%,-0.5656,Put,7/30/2025,0.035616438
222,311,4.33,14.23%,-0.6175,Put,7/30/2025,0.035616438
223,312,4.95,14.09%,-0.6696,Put,7/30/2025,0.035616438
224,313,5.65,14.08%,-0.7182,Put,7/30/2025,0.035616438
225,314,6.4,14.09%,-0.7633,Put,7/30/2025,0.035616438
226,315,7.3,14.82%,-0.7906,Put,7/30/2025,0.035616438
227,316,8,13.92%,-0.8459,Put,7/30/2025,0.035616438
228,317,8.85,13.74%,-0.8848,Put,7/30/2025,0.035616438
229,318,9.73,13.37%,-0.9243,Put,7/30/2025,0.035616438
230,319,10.63,12.40%,-0.9749,Put,7/30/2025,0.035616438
231,320,11.6,16.95%,-0.9038,Put,7/30/2025,0.035616438
232,321,12.43,17.37%,-0.9173,Put,7/30/2025,0.035616438
233,322,13.48,17.66%,-0.9343,Put,7/30/2025,0.035616438
234,323,14.43,17.76%,-0.947,Put,7/30/2025,0.035616438
235,324,15.4,23.73%,-0.887,Put,7/30/2025,0.035616438
236,325,16.58,24.77%,-0.8909,Put,7/30/2025,0.035616438
237,326,17.63,18.35%,-0.9827,Put,7/30/2025,0.035616438
238,327,18.38,31.41%,-0.8547,Put,7/30/2025,0.035616438
239,328,19.63,19.96%,-0.984,Put,7/30/2025,0.035616438
240,292,17.5,20.93%,0.8825,Call,8/8/2025,0.060273973
241,293,16.58,16.98%,0.9143,Call,8/8/2025,0.060273973
242,294,15.65,16.77%,0.9028,Call,8/8/2025,0.060273973
243,295,14.7,16.29%,0.8935,Call,8/8/2025,0.060273973
244,296,13.9,16.79%,0.8693,Call,8/8/2025,0.060273973
245,297,12.93,16.03%,0.8611,Call,8/8/2025,0.060273973
246,297.5,12.63,16.74%,0.8408,Call,8/8/2025,0.060273973
247,298,12.13,16.25%,0.837,Call,8/8/2025,0.060273973
248,299,11.3,16.20%,0.8152,Call,8/8/2025,0.060273973
249,300,10.48,16.03%,0.7931,Call,8/8/2025,0.060273973
250,301,9.65,15.77%,0.7704,Call,8/8/2025,0.060273973
251,302,8.98,16.06%,0.7386,Call,8/8/2025,0.060273973
252,302.5,8.6,15.99%,0.7249,Call,8/8/2025,0.060273973
253,303,8.28,16.10%,0.7088,Call,8/8/2025,0.060273973
254,304,7.6,16.11%,0.678,Call,8/8/2025,0.060273973
255,305,6.95,16.10%,0.6463,Call,8/8/2025,0.060273973
256,306,6.4,16.04%,0.6138,Call,8/8/2025,0.060273973
257,307,5.8,16.26%,0.5793,Call,8/8/2025,0.060273973
258,307.5,5.53,16.18%,0.5627,Call,8/8/2025,0.060273973
259,308,5.28,16.33%,0.5455,Call,8/8/2025,0.060273973
260,309,4.78,16.37%,0.5118,Call,8/8/2025,0.060273973
261,310,4.3,16.38%,0.4782,Call,8/8/2025,0.060273973
262,311,3.88,16.19%,0.444,Call,8/8/2025,0.060273973
263,312,3.47,16.77%,0.4143,Call,8/8/2025,0.060273973
264,312.5,3.28,16.48%,0.3965,Call,8/8/2025,0.060273973
265,313,3.1,16.52%,0.3809,Call,8/8/2025,0.060273973
266,314,2.76,16.60%,0.3506,Call,8/8/2025,0.060273973
267,315,2.46,16.60%,0.3208,Call,8/8/2025,0.060273973
268,316,2.18,16.69%,0.2933,Call,8/8/2025,0.060273973
269,317,1.92,16.63%,0.2653,Call,8/8/2025,0.060273973
270,317.5,1.81,16.73%,0.2536,Call,8/8/2025,0.060273973
271,318,1.69,16.78%,0.2416,Call,8/8/2025,0.060273973
272,319,1.49,16.84%,0.2182,Call,8/8/2025,0.060273973
273,320,1.32,16.87%,0.1959,Call,8/8/2025,0.060273973
274,321,1.13,16.89%,0.1752,Call,8/8/2025,0.060273973
275,322,1.01,17.04%,0.1578,Call,8/8/2025,0.060273973
276,323,0.89,17.19%,0.142,Call,8/8/2025,0.060273973
277,324,0.78,17.29%,0.1268,Call,8/8/2025,0.060273973
278,325,0.68,17.33%,0.1123,Call,8/8/2025,0.060273973
279,326,0.59,17.47%,0.1004,Call,8/8/2025,0.060273973
280,292,0.35,16.15%,-0.0641,Put,8/8/2025,0.060273973
281,293,0.41,16.15%,-0.0763,Put,8/8/2025,0.060273973
282,294,0.48,16.12%,-0.0897,Put,8/8/2025,0.060273973
283,295,0.56,15.86%,-0.1016,Put,8/8/2025,0.060273973
284,296,0.66,15.88%,-0.1191,Put,8/8/2025,0.060273973
285,297,0.78,15.52%,-0.133,Put,8/8/2025,0.060273973
286,297.5,0.84,15.56%,-0.1439,Put,8/8/2025,0.060273973
287,298,0.91,15.51%,-0.1539,Put,8/8/2025,0.060273973
288,299,1.08,15.49%,-0.1766,Put,8/8/2025,0.060273973
289,300,1.26,15.45%,-0.201,Put,8/8/2025,0.060273973
290,301,1.48,15.36%,-0.2269,Put,8/8/2025,0.060273973
291,302,1.73,15.35%,-0.2557,Put,8/8/2025,0.060273973
292,302.5,1.86,15.34%,-0.2707,Put,8/8/2025,0.060273973
293,303,2.01,15.36%,-0.2865,Put,8/8/2025,0.060273973
294,304,2.32,15.34%,-0.3186,Put,8/8/2025,0.060273973
295,305,2.68,15.39%,-0.353,Put,8/8/2025,0.060273973
296,306,3.1,15.63%,-0.3894,Put,8/8/2025,0.060273973
297,307,3.5,15.45%,-0.4237,Put,8/8/2025,0.060273973
298,307.5,3.72,15.19%,-0.4411,Put,8/8/2025,0.060273973
299,308,4,15.78%,-0.4605,Put,8/8/2025,0.060273973
300,309,4.48,15.55%,-0.4967,Put,8/8/2025,0.060273973
301,310,5,15.19%,-0.5341,Put,8/8/2025,0.060273973
302,311,5.58,15.58%,-0.5688,Put,8/8/2025,0.060273973
303,312,6.23,15.76%,-0.6033,Put,8/8/2025,0.060273973
304,312.5,6.5,15.07%,-0.6269,Put,8/8/2025,0.060273973
305,313,6.88,15.82%,-0.6371,Put,8/8/2025,0.060273973
306,314,7.45,15.47%,-0.6752,Put,8/8/2025,0.060273973
307,315,8.13,14.79%,-0.7183,Put,8/8/2025,0.060273973
308,316,8.98,15.84%,-0.7341,Put,8/8/2025,0.060273973
309,317,9.75,15.91%,-0.7618,Put,8/8/2025,0.060273973
310,317.5,10.1,15.72%,-0.7832,Put,8/8/2025,0.060273973
311,318,10.48,15.60%,-0.798,Put,8/8/2025,0.060273973
312,319,11.3,15.63%,-0.8221,Put,8/8/2025,0.060273973
313,320,12.13,15.53%,-0.8507,Put,8/8/2025,0.060273973
314,321,12.93,15.02%,-0.8834,Put,8/8/2025,0.060273973
315,322,13.88,15.44%,-0.8982,Put,8/8/2025,0.060273973
316,323,14.7,14.45%,-0.9424,Put,8/8/2025,0.060273973
317,324,15.6,17.61%,-0.8945,Put,8/8/2025,0.060273973
318,325,16.5,17.52%,-0.9148,Put,8/8/2025,0.060273973
319,326,17.45,17.77%,-0.9251,Put,8/8/2025,0.060273973
320,289,21.15,19.80%,0.9019,Call,8/15/2025,0.079452055
321,290,20.08,19.10%,0.8982,Call,8/15/2025,0.079452055
322,291,18.92,17.05%,0.9105,Call,8/15/2025,0.079452055
323,292,18,16.84%,0.9007,Call,8/15/2025,0.079452055
324,293,17.08,16.57%,0.8906,Call,8/15/2025,0.079452055
325,294,16.25,16.84%,0.8721,Call,8/15/2025,0.079452055
326,295,15.38,16.71%,0.8577,Call,8/15/2025,0.079452055
327,296,14.48,16.39%,0.8447,Call,8/15/2025,0.079452055
328,297,13.63,16.26%,0.8278,Call,8/15/2025,0.079452055
329,298,12.83,17.11%,0.7964,Call,8/15/2025,0.079452055
330,299,12,16.71%,0.7805,Call,8/15/2025,0.079452055
331,300,11.25,16.26%,0.7638,Call,8/15/2025,0.079452055
332,301,10.53,16.19%,0.7408,Call,8/15/2025,0.079452055
333,302,9.83,16.23%,0.7154,Call,8/15/2025,0.079452055
334,303,9.13,16.60%,0.6859,Call,8/15/2025,0.079452055
335,304,8.48,15.96%,0.6649,Call,8/15/2025,0.079452055
336,305,7.88,16.30%,0.6345,Call,8/15/2025,0.079452055
337,306,7.25,16.66%,0.6045,Call,8/15/2025,0.079452055
338,307,6.73,16.37%,0.5776,Call,8/15/2025,0.079452055
339,308,6.18,16.22%,0.5491,Call,8/15/2025,0.079452055
340,309,5.68,16.18%,0.5199,Call,8/15/2025,0.079452055
341,310,5.2,16.43%,0.491,Call,8/15/2025,0.079452055
342,311,4.75,16.43%,0.4623,Call,8/15/2025,0.079452055
343,312,4.35,16.54%,0.4345,Call,8/15/2025,0.079452055
344,313,3.95,16.55%,0.4067,Call,8/15/2025,0.079452055
345,314,3.6,16.56%,0.3796,Call,8/15/2025,0.079452055
346,315,3.25,16.72%,0.3545,Call,8/15/2025,0.079452055
347,316,2.95,16.70%,0.3287,Call,8/15/2025,0.079452055
348,317,2.67,16.73%,0.3043,Call,8/15/2025,0.079452055
349,318,2.41,16.82%,0.2817,Call,8/15/2025,0.079452055
350,319,2.16,16.84%,0.2592,Call,8/15/2025,0.079452055
351,320,1.9,16.78%,0.2367,Call,8/15/2025,0.079452055
352,321,1.74,16.95%,0.2186,Call,8/15/2025,0.079452055
353,322,1.56,17.01%,0.2001,Call,8/15/2025,0.079452055
354,323,1.4,17.09%,0.1831,Call,8/15/2025,0.079452055
355,324,1.25,17.13%,0.1665,Call,8/15/2025,0.079452055
356,325,1.12,17.19%,0.1514,Call,8/15/2025,0.079452055
357,326,1,17.20%,0.1367,Call,8/15/2025,0.079452055
358,327,0.89,17.32%,0.1246,Call,8/15/2025,0.079452055
359,328,0.73,17.06%,0.1081,Call,8/15/2025,0.079452055
360,289,0.4,16.64%,-0.064,Put,8/15/2025,0.079452055
361,290,0.45,16.47%,-0.0721,Put,8/15/2025,0.079452055
362,291,0.52,16.20%,-0.0799,Put,8/15/2025,0.079452055
363,292,0.59,16.18%,-0.0919,Put,8/15/2025,0.079452055
364,293,0.68,16.14%,-0.1049,Put,8/15/2025,0.079452055
365,294,0.78,16.02%,-0.1181,Put,8/15/2025,0.079452055
366,295,0.9,15.88%,-0.1323,Put,8/15/2025,0.079452055
367,296,1.04,15.83%,-0.1491,Put,8/15/2025,0.079452055
368,297,1.19,15.59%,-0.1647,Put,8/15/2025,0.079452055
369,298,1.35,15.61%,-0.1857,Put,8/15/2025,0.079452055
370,299,1.56,15.75%,-0.2096,Put,8/15/2025,0.079452055
371,300,1.77,15.54%,-0.2301,Put,8/15/2025,0.079452055
372,301,2.06,15.63%,-0.2561,Put,8/15/2025,0.079452055
373,302,2.3,15.53%,-0.2811,Put,8/15/2025,0.079452055
374,303,2.62,15.55%,-0.3087,Put,8/15/2025,0.079452055
375,304,3,15.53%,-0.337,Put,8/15/2025,0.079452055
376,305,3.35,15.76%,-0.3679,Put,8/15/2025,0.079452055
377,306,3.75,15.55%,-0.3965,Put,8/15/2025,0.079452055
378,307,4.2,15.72%,-0.4275,Put,8/15/2025,0.079452055
379,308,4.65,15.69%,-0.4586,Put,8/15/2025,0.079452055
380,309,5.2,15.78%,-0.4894,Put,8/15/2025,0.079452055
381,310,5.7,15.84%,-0.5201,Put,8/15/2025,0.079452055
382,311,6.15,15.04%,-0.5553,Put,8/15/2025,0.079452055
383,312,6.85,15.86%,-0.5819,Put,8/15/2025,0.079452055
384,313,7.5,15.98%,-0.6109,Put,8/15/2025,0.079452055
385,314,8.15,16.01%,-0.6408,Put,8/15/2025,0.079452055
386,315,8.8,16.17%,-0.6677,Put,8/15/2025,0.079452055
387,316,9.45,15.50%,-0.7038,Put,8/15/2025,0.079452055
388,317,10.15,15.68%,-0.7282,Put,8/15/2025,0.079452055
389,318,11.03,16.14%,-0.7479,Put,8/15/2025,0.079452055
390,319,11.73,15.02%,-0.7928,Put,8/15/2025,0.079452055
391,320,12.5,15.72%,-0.8036,Put,8/15/2025,0.079452055
392,321,13.27,15.48%,-0.8353,Put,8/15/2025,0.079452055
393,322,14.18,15.72%,-0.8533,Put,8/15/2025,0.079452055
394,323,15.03,15.61%,-0.8721,Put,8/15/2025,0.079452055
395,324,15.83,14.94%,-0.9074,Put,8/15/2025,0.079452055
396,325,16.78,15.18%,-0.9253,Put,8/15/2025,0.079452055
397,326,17.73,15.32%,-0.9381,Put,8/15/2025,0.079452055
398,327,18.63,14.43%,-0.9735,Put,8/15/2025,0.079452055
399,328,19.58,17.75%,-0.917,Put,8/15/2025,0.079452055
400,289,21.5,18.70%,0.8921,Call,8/22/2025,0.098630137
401,290,20.55,18.27%,0.8856,Call,8/22/2025,0.098630137
402,291,19.65,18.09%,0.8755,Call,8/22/2025,0.098630137
403,292,18.75,17.86%,0.8651,Call,8/22/2025,0.098630137
